what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339179754423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339179756662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339179778520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339179780865
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1339179786961
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339179786991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339179819339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339179879820
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339179881823
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339179892901
activated,perspective,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.Perspective",1339179892931
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1339179892940
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1339179908240
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339179908243
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339179911240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339179995416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339179999524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339180009421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339180022437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339180023933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339180026561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339180062019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1339180088922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339180119207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339180129426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339180136489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339180138290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339180140613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339180161644
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1339180169052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339180169576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339180192695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339180544193
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339180548013
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339180548770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339180554013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339180556164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339180571463
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339180578463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339180589224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339180591541
